"CellTypeMarkerSet","symbol","loc_id","provenance","repair_note","sources"
"Mesenephric podocytes","Wt1","LOC116939910","added, set cited","","Drummond BE et al. 2023, J Dev Biol 11:9, PMID 36810461 | Dong L et al. 2015, J Am Soc Nephrol 26:2118-2128, PMID 25556170 | Zebrafish podocyte review, Am J Physiol Renal Physiol 2023, not confirmed on PubMed"
"Mesonephric cells","AQP3","LOC116941057","S1","",""
"Mesonephric cells","CUBN","CUBN","S1","",""
"Mesonephric cells","KCNJ1","KCNJ1","S1","",""
"Mesonephric cells","LRP2","LRP2","S1","",""
"Mesonephric cells","MIOX","MIOX","S1","",""
"Mesonephric cells","PAX2","PAX2","S1","",""
"Mesonephric cells","VIM","LOC116940419","S1","",""
"Oocyte","DDX4","DDX4","S1","",""
"Oocyte","LHX8","LOC116944806","S1","",""
"Oocyte","ZAR1L","ZAR1L","S1, symbol corrected","S1 wrote ZAR1, which does not resolve in the gene table.",""
"Oocyte","ZP2","LOC116946906","S1","",""
"Oocyte","ZP3","LOC116937004","S1","",""
"Oocyte","ZP4","LOC116937006","S1","",""
"Pre-granulosa cells","FOXL2","LOC116946948","S1","",""
"Pre-granulosa cells","LGR5","LGR5","S1","",""
"Pre-granulosa cells","NR5A1","LOC116944875","S1","",""
"Primordial germ cells","ALPL","ALPL","S1","",""
"Primordial germ cells","DDX4","DDX4","S1","",""
"Primordial germ cells","PRDM1","LOC116952900","S1","",""
"Primordial germ cells","PRDM14","PRDM14","S1","",""
"Spermatocytes","BOLL","BOLL","S1","",""
"Spermatocytes","DMC1","DMC1","S1","",""
"Spermatocytes","SYCP3","SYCP3","S1","",""
"Spermatocytes","TEX11","TEX11","S1","",""
"Spermatocytes","TEX15","TEX15","S1","",""
"Spermatogonial stem cells","PAX7","PAX7","S1","",""
